make_slug,style_name,occurrences
ferrari,575 SUPERAMERICA 2DR CONV RWD,1
ferrari,F12tdf,4
ferrari,MONDIAL,1
ferrari,PUROSANGQUE 4DR SUV,4
ferrari,TESTEROSSA COUPE,3
fiat,SPIDER,1
ford,COUGAR 2DR HATCHBACK,1
ford,COUGAR 2DR HATCHBACK V6,1
ford,COUGAR 2DR HATCHBACK V6 BASE,2
ford,COUGAR 2DR HATCHBACK V6 S,2
ford,EXP,2
ford,EXP 2 DR,2
ford,EXP SPORT COUPE,2
ford,EXP TURBO COUPE,2
ford,EXP TURBO CP,1
ford,GRAND MARQUIS 4DR SEDAN GS/LS,3
ford,GRAND MARQUIS 4DR SEDAN RWD GS/LS PREMIUM,3
ford,GRAND MARQUIS 4DR SEDAN RWD LS ULTIMATE,2
ford,MERCURY GRAND MARQUIS 4DR SEDAN GS/LS,1
ford,MERCURY MARAUDER 4DR SEDAN RWD,2
ford,POLICE INTERCEPTOR SEDAN,8
ford,POLICE INTERCEPTOR UTILITY,15
ford,POLICE RESPONDER HYBRID SEDAN,5
ford,T-BIRD 2 DR,2
ford,VILLAGER GS/LS 2WD,1
ford,VILLAGER GS/LS/NAUTICA,5
geo,405 DL/S SEDAN,1
geo,405 DL/S/Mi 16 SEDAN,3
geo,405 Mi 16 SEDAN,1
geo,505 GL 4 DR SEDAN,1
geo,505 GL 4 DR TURBO SEDAN,2
geo,505 GL WAGON,3
geo,505 GL/GLX/STX/TURBO 4 DR SEDAN,1
geo,505 GLS 4 DR SEDAN,1
geo,505 GLS WAGON,1
geo,505 STI 4 DR SEDAN,1
geo,505 STX (V6) 4 DR SEDAN,1
geo,505 TURBO 4 DR SEDAN,1
geo,"505 TURBO S, WAGON",1
geo,505 TURBO STATION WAGON,1
gmc,C-15 FENDERSIDE PICK-UP,3
gmc,C-15 LONG BED PICK-UP,3
gmc,C-15 SHORT BED PICK UP,3
gmc,C-1500,1
gmc,C-1500 SPORTSIDE P.U. REGULAR CAB,4
gmc,C-1500 WIDESIDE P.U. CLUB COUPE,3
gmc,C-1500 WIDESIDE P.U. CLUB COUPE LG BOX,1
